Number,Date Time UTC 4,Temperature
601,11/27/18 16:00,28.245
602,11/27/18 16:15,28.221
603,11/27/18 16:30,28.245
604,11/27/18 16:45,28.221
605,11/27/18 17:00,28.196
606,11/27/18 17:15,28.171
607,11/27/18 17:30,28.122
608,11/27/18 17:45,28.072
609,11/27/18 18:00,28.072
610,11/27/18 18:15,28.072
611,11/27/18 18:30,28.072
612,11/27/18 18:45,28.072
613,11/27/18 19:00,28.072
614,11/27/18 19:15,28.122
615,11/27/18 19:30,28.147
616,11/27/18 19:45,28.147
617,11/27/18 20:00,28.147
618,11/27/18 20:15,28.122
619,11/27/18 20:30,28.122
620,11/27/18 20:45,28.097
621,11/27/18 21:00,28.072
622,11/27/18 21:15,28.048
623,11/27/18 21:30,28.023
624,11/27/18 21:45,28.023
625,11/27/18 22:00,28.023
626,11/27/18 22:15,28.023
627,11/27/18 22:30,28.023
628,11/27/18 22:45,28.072
629,11/27/18 23:00,28.122
630,11/27/18 23:15,28.122
631,11/27/18 23:30,28.122
632,11/27/18 23:45,28.097
633,11/28/18 00:00,28.048
634,11/28/18 00:15,28.023
635,11/28/18 00:30,28.023
636,11/28/18 00:45,28.048
637,11/28/18 01:00,28.048
638,11/28/18 01:15,28.048
639,11/28/18 01:30,28.048
640,11/28/18 01:45,28.048
641,11/28/18 02:00,28.048
642,11/28/18 02:15,28.122
643,11/28/18 02:30,28.122
644,11/28/18 02:45,28.147
645,11/28/18 03:00,28.171
646,11/28/18 03:15,28.196
647,11/28/18 03:30,28.196
648,11/28/18 03:45,28.196
649,11/28/18 04:00,28.147
650,11/28/18 04:15,28.097
651,11/28/18 04:30,28.072
652,11/28/18 04:45,28.072
653,11/28/18 05:00,28.072
654,11/28/18 05:15,28.072
655,11/28/18 05:30,28.072
656,11/28/18 05:45,28.072
657,11/28/18 06:00,28.048
658,11/28/18 06:15,28.023
659,11/28/18 06:30,27.998
660,11/28/18 06:45,27.974
661,11/28/18 07:00,27.974
662,11/28/18 07:15,27.998
663,11/28/18 07:30,27.998
664,11/28/18 07:45,27.998
665,11/28/18 08:00,28.023
666,11/28/18 08:15,28.048
667,11/28/18 08:30,28.048
668,11/28/18 08:45,28.048
669,11/28/18 09:00,28.048
670,11/28/18 09:15,28.048
671,11/28/18 09:30,28.072
672,11/28/18 09:45,28.072
673,11/28/18 10:00,28.072
674,11/28/18 10:15,28.097
675,11/28/18 10:30,28.097
676,11/28/18 10:45,28.097
677,11/28/18 11:00,28.122
678,11/28/18 11:15,28.122
679,11/28/18 11:30,28.147
680,11/28/18 11:45,28.147
681,11/28/18 12:00,28.147
682,11/28/18 12:15,28.147
683,11/28/18 12:30,28.171
684,11/28/18 12:45,28.171
685,11/28/18 13:00,28.196
686,11/28/18 13:15,28.196
687,11/28/18 13:30,28.196
688,11/28/18 13:45,28.221
689,11/28/18 14:00,28.221
690,11/28/18 14:15,28.221
691,11/28/18 14:30,28.221
692,11/28/18 14:45,28.245
693,11/28/18 15:00,28.221
694,11/28/18 15:15,28.196
695,11/28/18 15:30,28.221
696,11/28/18 15:45,28.221
697,11/28/18 16:00,28.221
698,11/28/18 16:15,28.245
699,11/28/18 16:30,28.221
700,11/28/18 16:45,28.196
701,11/28/18 17:00,28.171
702,11/28/18 17:15,28.122
703,11/28/18 17:30,28.122
704,11/28/18 17:45,28.097
705,11/28/18 18:00,28.072
706,11/28/18 18:15,28.072
707,11/28/18 18:30,28.072
708,11/28/18 18:45,28.072
709,11/28/18 19:00,28.097
710,11/28/18 19:15,28.097
711,11/28/18 19:30,28.097
712,11/28/18 19:45,28.097
713,11/28/18 20:00,28.122
714,11/28/18 20:15,28.122
715,11/28/18 20:30,28.097
716,11/28/18 20:45,28.097
717,11/28/18 21:00,28.072
718,11/28/18 21:15,28.048
719,11/28/18 21:30,28.048
720,11/28/18 21:45,28.048
721,11/28/18 22:00,28.023
722,11/28/18 22:15,28.023
723,11/28/18 22:30,28.023
724,11/28/18 22:45,28.023
725,11/28/18 23:00,28.048
726,11/28/18 23:15,28.048
727,11/28/18 23:30,28.023
728,11/28/18 23:45,27.998
729,11/29/18 00:00,27.998
730,11/29/18 00:15,27.998
731,11/29/18 00:30,28.023
732,11/29/18 00:45,28.072
733,11/29/18 01:00,28.072
734,11/29/18 01:15,28.072
735,11/29/18 01:30,28.072
736,11/29/18 01:45,28.072
737,11/29/18 02:00,28.072
738,11/29/18 02:15,28.072
739,11/29/18 02:30,28.072
740,11/29/18 02:45,28.072
741,11/29/18 03:00,28.072
742,11/29/18 03:15,28.072
743,11/29/18 03:30,28.072
744,11/29/18 03:45,28.072
745,11/29/18 04:00,28.122
746,11/29/18 04:15,28.122
747,11/29/18 04:30,28.122
748,11/29/18 04:45,28.072
749,11/29/18 05:00,28.048
750,11/29/18 05:15,28.048
751,11/29/18 05:30,28.048
752,11/29/18 05:45,28.072
753,11/29/18 06:00,28.072
754,11/29/18 06:15,28.048
755,11/29/18 06:30,28.023
756,11/29/18 06:45,28.023
757,11/29/18 07:00,28.023
758,11/29/18 07:15,28.023
